criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,50,sqrt,1,5,best,0.6333333333333333,0.05345224838248489,271
gini,50,sqrt,1,5,random,0.6142857142857142,0.07284313590846835,385
gini,50,sqrt,1,10,best,0.5999999999999999,0.0628138378965377,406
gini,50,sqrt,1,10,random,0.5952380952380952,0.03984095364447979,412
gini,50,sqrt,1,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,sqrt,1,100,random,0.5523809523809524,0.06632565846278154,477
gini,50,sqrt,5,2,best,0.619047619047619,0.12598815766974242,360
gini,50,sqrt,5,2,random,0.5095238095238095,0.019047619047619067,561
gini,50,sqrt,5,5,best,0.619047619047619,0.12598815766974242,360
gini,50,sqrt,5,5,random,0.5095238095238095,0.019047619047619067,561
gini,50,sqrt,5,10,best,0.619047619047619,0.12598815766974242,360
gini,50,sqrt,5,10,random,0.5095238095238095,0.019047619047619067,561
gini,50,sqrt,5,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,sqrt,5,100,random,0.5,0.0,637
gini,50,sqrt,10,2,best,0.6904761904761906,0.07824607964359517,86
gini,50,sqrt,10,2,random,0.5238095238095238,0.04761904761904762,513
gini,50,sqrt,10,5,best,0.6904761904761906,0.07824607964359517,86
gini,50,sqrt,10,5,random,0.5238095238095238,0.04761904761904762,513
gini,50,sqrt,10,10,best,0.6904761904761906,0.07824607964359517,86
gini,50,sqrt,10,10,random,0.5238095238095238,0.04761904761904762,513
gini,50,sqrt,10,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,sqrt,10,100,random,0.5190476190476191,0.03809523809523809,549
gini,50,sqrt,50,2,best,0.5857142857142856,0.08464947064110086,427
gini,50,sqrt,50,2,random,0.5,0.0,637
gini,50,sqrt,50,5,best,0.5857142857142856,0.08464947064110086,427
gini,50,sqrt,50,5,random,0.5,0.0,637
gini,50,sqrt,50,10,best,0.5857142857142856,0.08464947064110086,427
gini,50,sqrt,50,10,random,0.5,0.0,637
gini,50,sqrt,50,100,best,0.5857142857142856,0.08464947064110086,427
gini,50,sqrt,50,100,random,0.5,0.0,637
gini,50,sqrt,100,2,best,0.5,0.0,637
gini,50,sqrt,100,2,random,0.5,0.0,637
gini,50,sqrt,100,5,best,0.5,0.0,637
gini,50,sqrt,100,5,random,0.5,0.0,637
gini,50,sqrt,100,10,best,0.5,0.0,637
gini,50,sqrt,100,10,random,0.5,0.0,637
gini,50,sqrt,100,100,best,0.5,0.0,637
gini,50,sqrt,100,100,random,0.5,0.0,637
gini,50,log2,1,2,best,0.6095238095238096,0.055532875189002844,393
gini,50,log2,1,2,random,0.6333333333333334,0.04416008807378908,263
gini,50,log2,1,5,best,0.6333333333333333,0.05345224838248489,271
gini,50,log2,1,5,random,0.6142857142857142,0.07284313590846835,385
gini,50,log2,1,10,best,0.5999999999999999,0.0628138378965377,406
gini,50,log2,1,10,random,0.5952380952380952,0.03984095364447979,412
gini,50,log2,1,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,log2,1,100,random,0.5523809523809524,0.06632565846278154,477
gini,50,log2,5,2,best,0.619047619047619,0.12598815766974242,360
gini,50,log2,5,2,random,0.5095238095238095,0.019047619047619067,561
gini,50,log2,5,5,best,0.619047619047619,0.12598815766974242,360
gini,50,log2,5,5,random,0.5095238095238095,0.019047619047619067,561
gini,50,log2,5,10,best,0.619047619047619,0.12598815766974242,360
gini,50,log2,5,10,random,0.5095238095238095,0.019047619047619067,561
gini,50,log2,5,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,log2,5,100,random,0.5,0.0,637
gini,50,log2,10,2,best,0.6904761904761906,0.07824607964359517,86
gini,50,log2,10,2,random,0.5238095238095238,0.04761904761904762,513
gini,50,log2,10,5,best,0.6904761904761906,0.07824607964359517,86
gini,50,log2,10,5,random,0.5238095238095238,0.04761904761904762,513
gini,50,log2,10,10,best,0.6904761904761906,0.07824607964359517,86
gini,50,log2,10,10,random,0.5238095238095238,0.04761904761904762,513
gini,50,log2,10,100,best,0.7095238095238094,0.09689042833036098,19
gini,50,log2,10,100,random,0.5190476190476191,0.03809523809523809,549
gini,50,log2,50,2,best,0.5857142857142856,0.08464947064110086,427
gini,50,log2,50,2,random,0.5,0.0,637
gini,50,log2,50,5,best,0.5857142857142856,0.08464947064110086,427
gini,50,log2,50,5,random,0.5,0.0,637
gini,50,log2,50,10,best,0.5857142857142856,0.08464947064110086,427
