algorithm,leaf_size,metric,n_neighbors,p,weights,mean_test_score,std_test_score,rank_test_score
auto,30,chebyshev,5,1,uniform,0.6095238095238095,0.035634832254989916,5853
auto,30,chebyshev,5,1,distance,0.6238095238095238,0.0788235493202231,4523
auto,30,chebyshev,5,2,uniform,0.6095238095238095,0.035634832254989916,5853
auto,30,chebyshev,5,2,distance,0.6238095238095238,0.0788235493202231,4523
auto,30,chebyshev,5,3,uniform,0.6095238095238095,0.035634832254989916,5853
auto,30,chebyshev,5,3,distance,0.6238095238095238,0.0788235493202231,4523
auto,30,chebyshev,5,4,uniform,0.6095238095238095,0.035634832254989916,5853
auto,30,chebyshev,5,4,distance,0.6238095238095238,0.0788235493202231,4523
auto,30,chebyshev,5,5,uniform,0.6095238095238095,0.035634832254989916,5853
auto,30,chebyshev,5,5,distance,0.6238095238095238,0.0788235493202231,4523
auto,30,chebyshev,6,1,uniform,0.6238095238095237,0.050843229771577646,4935
auto,30,chebyshev,6,1,distance,0.638095238095238,0.0628138378965377,3042
auto,30,chebyshev,6,2,uniform,0.6238095238095237,0.050843229771577646,4935
auto,30,chebyshev,6,2,distance,0.638095238095238,0.0628138378965377,3042
auto,30,chebyshev,6,3,uniform,0.6238095238095237,0.050843229771577646,4935
auto,30,chebyshev,6,3,distance,0.638095238095238,0.0628138378965377,3042
auto,30,chebyshev,6,4,uniform,0.6238095238095237,0.050843229771577646,4935
auto,30,chebyshev,6,4,distance,0.638095238095238,0.0628138378965377,3042
auto,30,chebyshev,6,5,uniform,0.6238095238095237,0.050843229771577646,4935
auto,30,chebyshev,6,5,distance,0.638095238095238,0.0628138378965377,3042
auto,30,chebyshev,7,1,uniform,0.6285714285714284,0.04416008807378906,4323
auto,30,chebyshev,7,1,distance,0.6238095238095238,0.055123032870429634,4523
auto,30,chebyshev,7,2,uniform,0.6285714285714284,0.04416008807378906,4323
auto,30,chebyshev,7,2,distance,0.6238095238095238,0.055123032870429634,4523
auto,30,chebyshev,7,3,uniform,0.6285714285714284,0.04416008807378906,4323
auto,30,chebyshev,7,3,distance,0.6238095238095238,0.055123032870429634,4523
auto,30,chebyshev,7,4,uniform,0.6285714285714284,0.04416008807378906,4323
auto,30,chebyshev,7,4,distance,0.6238095238095238,0.055123032870429634,4523
auto,30,chebyshev,7,5,uniform,0.6285714285714284,0.04416008807378906,4323
auto,30,chebyshev,7,5,distance,0.6238095238095238,0.055123032870429634,4523
auto,30,chebyshev,8,1,uniform,0.6285714285714286,0.04902681019517621,4054
auto,30,chebyshev,8,1,distance,0.6476190476190476,0.06459361888690732,1867
auto,30,chebyshev,8,2,uniform,0.6285714285714286,0.04902681019517621,4054
auto,30,chebyshev,8,2,distance,0.6476190476190476,0.06459361888690732,1867
auto,30,chebyshev,8,3,uniform,0.6285714285714286,0.04902681019517621,4054
auto,30,chebyshev,8,3,distance,0.6476190476190476,0.06459361888690732,1867
auto,30,chebyshev,8,4,uniform,0.6285714285714286,0.04902681019517621,4054
auto,30,chebyshev,8,4,distance,0.6476190476190476,0.06459361888690732,1867
auto,30,chebyshev,8,5,uniform,0.6285714285714286,0.04902681019517621,4054
auto,30,chebyshev,8,5,distance,0.6476190476190476,0.06459361888690732,1867
auto,30,chebyshev,9,1,uniform,0.6380952380952382,0.08702698515474791,2932
auto,30,chebyshev,9,1,distance,0.6619047619047619,0.0663256584627815,537
auto,30,chebyshev,9,2,uniform,0.6380952380952382,0.08702698515474791,2932
auto,30,chebyshev,9,2,distance,0.6619047619047619,0.0663256584627815,537
auto,30,chebyshev,9,3,uniform,0.6380952380952382,0.08702698515474791,2932
auto,30,chebyshev,9,3,distance,0.6619047619047619,0.0663256584627815,537
auto,30,chebyshev,9,4,uniform,0.6380952380952382,0.08702698515474791,2932
auto,30,chebyshev,9,4,distance,0.6619047619047619,0.0663256584627815,537
auto,30,chebyshev,9,5,uniform,0.6380952380952382,0.08702698515474791,2932
auto,30,chebyshev,9,5,distance,0.6619047619047619,0.0663256584627815,537
auto,40,minkowski,1,1,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,minkowski,1,1,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,minkowski,1,2,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,minkowski,1,2,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,minkowski,1,3,uniform,0.6285714285714286,0.05553287518900284,4054
auto,40,minkowski,1,3,distance,0.6285714285714286,0.05553287518900284,4054
auto,40,minkowski,1,4,uniform,0.6190476190476191,0.05429406786186369,5205
auto,40,minkowski,1,4,distance,0.6190476190476191,0.05429406786186369,5205
auto,40,minkowski,1,5,uniform,0.6142857142857142,0.057142857142857134,5455
auto,40,minkowski,1,5,distance,0.6142857142857142,0.057142857142857134,5455
auto,40,minkowski,2,1,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,minkowski,2,1,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,minkowski,2,2,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,minkowski,2,2,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,minkowski,2,3,uniform,0.5714285714285714,0.063887656499994,6940
auto,40,minkowski,2,3,distance,0.6238095238095238,0.05302632726504781,4523
auto,40,minkowski,2,4,uniform,0.5714285714285715,0.06563832739090583,6796
auto,40,minkowski,2,4,distance,0.6142857142857142,0.05302632726504781,5455
auto,40,minkowski,2,5,uniform,0.5761904761904763,0.06632565846278153,6731
auto,40,minkowski,2,5,distance,0.6095238095238095,0.055532875189002844,5853
auto,40,minkowski,3,1,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,minkowski,3,1,distance,0.6571428571428571,0.03563483225498991,712
auto,40,minkowski,3,2,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,minkowski,3,2,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,minkowski,3,3,uniform,0.6285714285714286,0.05753831415997414,4054
auto,40,minkowski,3,3,distance,0.6285714285714286,0.06317380553057905,4054
auto,40,minkowski,3,4,uniform,0.6333333333333333,0.05128728387747147,3596
auto,40,minkowski,3,4,distance,0.6285714285714287,0.05753831415997418,3949
auto,40,minkowski,3,5,uniform,0.6285714285714286,0.044160088073789065,4054
auto,40,minkowski,3,5,distance,0.6238095238095239,0.04856209060564558,4368
auto,40,minkowski,4,1,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,minkowski,4,1,distance,0.6714285714285715,0.031586902765289526,1
auto,40,minkowski,4,2,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,minkowski,4,2,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,minkowski,4,3,uniform,0.6,0.023328473740792197,6311
auto,40,minkowski,4,3,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,minkowski,4,4,uniform,0.5904761904761905,0.03499271061118824,6529
auto,40,minkowski,4,4,distance,0.6285714285714286,0.049026810195176206,4054
auto,40,minkowski,4,5,uniform,0.6095238095238095,0.03868589716493312,5853
auto,40,minkowski,4,5,distance,0.619047619047619,0.05832118435198043,5246
auto,40,minkowski,5,1,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,minkowski,5,1,distance,0.6571428571428573,0.06494372236659933,652
auto,40,minkowski,5,2,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,minkowski,5,2,distance,0.638095238095238,0.0645936188869073,3042
auto,40,minkowski,5,3,uniform,0.6285714285714287,0.04151332327181595,3949
auto,40,minkowski,5,3,distance,0.638095238095238,0.06966066113489426,3042
auto,40,minkowski,5,4,uniform,0.6285714285714287,0.04151332327181595,3949
auto,40,minkowski,5,4,distance,0.6333333333333333,0.07766431633476235,3596
auto,40,minkowski,5,5,uniform,0.6285714285714287,0.04151332327181595,3949
auto,40,minkowski,5,5,distance,0.6285714285714286,0.07766431633476234,4054
auto,40,minkowski,6,1,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,minkowski,6,1,distance,0.661904761904762,0.05512303287042966,423
auto,40,minkowski,6,2,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,minkowski,6,2,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,minkowski,6,3,uniform,0.6190476190476192,0.08109231602822094,5185
auto,40,minkowski,6,3,distance,0.6571428571428571,0.04416008807378907,712
auto,40,minkowski,6,4,uniform,0.6142857142857142,0.0663256584627815,5455
auto,40,minkowski,6,4,distance,0.6523809523809524,0.04665694748158436,1116
auto,40,minkowski,6,5,uniform,0.619047619047619,0.06563832739090579,5246
auto,40,minkowski,6,5,distance,0.6571428571428571,0.05753831415997413,712
auto,40,minkowski,7,1,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,minkowski,7,1,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,minkowski,7,2,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,minkowski,7,2,distance,0.6714285714285714,0.055123032870429634,87
auto,40,minkowski,7,3,uniform,0.6523809523809524,0.07158712561129955,1116
auto,40,minkowski,7,3,distance,0.6619047619047619,0.05512303287042962,537
auto,40,minkowski,7,4,uniform,0.6571428571428571,0.07468755781599105,712
auto,40,minkowski,7,4,distance,0.6523809523809524,0.06834619092574915,1116
auto,40,minkowski,7,5,uniform,0.6523809523809524,0.0649437223665993,1116
auto,40,minkowski,7,5,distance,0.6476190476190475,0.07882354932022306,2302
auto,40,minkowski,8,1,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,minkowski,8,1,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,minkowski,8,2,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,minkowski,8,2,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,minkowski,8,3,uniform,0.6476190476190476,0.06632565846278154,1867
auto,40,minkowski,8,3,distance,0.6571428571428571,0.05753831415997413,712
auto,40,minkowski,8,4,uniform,0.6428571428571429,0.07221786137191953,2431
auto,40,minkowski,8,4,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,minkowski,8,5,uniform,0.6571428571428571,0.07766431633476234,712
auto,40,minkowski,8,5,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,minkowski,9,1,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,minkowski,9,1,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,minkowski,9,2,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,minkowski,9,2,distance,0.6666666666666666,0.062087641954310935,267
auto,40,minkowski,9,3,uniform,0.6380952380952382,0.07438333024673004,2932
auto,40,minkowski,9,3,distance,0.6666666666666667,0.06208764195431092,207
auto,40,minkowski,9,4,uniform,0.6428571428571429,0.0838419850555191,2431
auto,40,minkowski,9,4,distance,0.6714285714285715,0.06966066113489423,1
auto,40,minkowski,9,5,uniform,0.6333333333333334,0.08857654875113466,3416
auto,40,minkowski,9,5,distance,0.6619047619047619,0.07882354932022309,537
auto,40,euclidean,1,1,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,1,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,2,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,2,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,3,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,3,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,4,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,4,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,5,uniform,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,1,5,distance,0.6428571428571428,0.06388765649999398,2698
auto,40,euclidean,2,1,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,euclidean,2,1,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,euclidean,2,2,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,euclidean,2,2,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,euclidean,2,3,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,euclidean,2,3,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,euclidean,2,4,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,euclidean,2,4,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,euclidean,2,5,uniform,0.5714285714285715,0.06208764195431094,6796
auto,40,euclidean,2,5,distance,0.6428571428571429,0.0656383273909058,2431
auto,40,euclidean,3,1,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,euclidean,3,1,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,euclidean,3,2,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,euclidean,3,2,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,euclidean,3,3,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,euclidean,3,3,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,euclidean,3,4,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,euclidean,3,4,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,euclidean,3,5,uniform,0.6476190476190475,0.02776643759450141,2302
auto,40,euclidean,3,5,distance,0.6523809523809524,0.041513323271815936,1116
auto,40,euclidean,4,1,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,euclidean,4,1,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,euclidean,4,2,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,euclidean,4,2,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,euclidean,4,3,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,euclidean,4,3,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,euclidean,4,4,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,euclidean,4,4,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,euclidean,4,5,uniform,0.6047619047619048,0.04416008807378908,6015
auto,40,euclidean,4,5,distance,0.6476190476190476,0.040963453652583935,1867
auto,40,euclidean,5,1,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,euclidean,5,1,distance,0.638095238095238,0.0645936188869073,3042
auto,40,euclidean,5,2,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,euclidean,5,2,distance,0.638095238095238,0.0645936188869073,3042
auto,40,euclidean,5,3,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,euclidean,5,3,distance,0.638095238095238,0.0645936188869073,3042
auto,40,euclidean,5,4,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,euclidean,5,4,distance,0.638095238095238,0.0645936188869073,3042
auto,40,euclidean,5,5,uniform,0.6142857142857142,0.038095238095238106,5455
auto,40,euclidean,5,5,distance,0.638095238095238,0.0645936188869073,3042
auto,40,euclidean,6,1,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,euclidean,6,1,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,euclidean,6,2,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,euclidean,6,2,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,euclidean,6,3,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,euclidean,6,3,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,euclidean,6,4,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,euclidean,6,4,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,euclidean,6,5,uniform,0.6095238095238096,0.07158712561129954,5723
auto,40,euclidean,6,5,distance,0.6523809523809524,0.049026810195176206,1116
auto,40,euclidean,7,1,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,euclidean,7,1,distance,0.6714285714285714,0.055123032870429634,87
auto,40,euclidean,7,2,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,euclidean,7,2,distance,0.6714285714285714,0.055123032870429634,87
auto,40,euclidean,7,3,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,euclidean,7,3,distance,0.6714285714285714,0.055123032870429634,87
auto,40,euclidean,7,4,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,euclidean,7,4,distance,0.6714285714285714,0.055123032870429634,87
auto,40,euclidean,7,5,uniform,0.6523809523809524,0.06317380553057904,1116
auto,40,euclidean,7,5,distance,0.6714285714285714,0.055123032870429634,87
auto,40,euclidean,8,1,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,euclidean,8,1,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,euclidean,8,2,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,euclidean,8,2,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,euclidean,8,3,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,euclidean,8,3,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,euclidean,8,4,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,euclidean,8,4,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,euclidean,8,5,uniform,0.6523809523809525,0.06998542122237654,936
auto,40,euclidean,8,5,distance,0.6523809523809524,0.0534522483824849,1116
auto,40,euclidean,9,1,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,euclidean,9,1,distance,0.6666666666666666,0.062087641954310935,267
auto,40,euclidean,9,2,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,euclidean,9,2,distance,0.6666666666666666,0.062087641954310935,267
auto,40,euclidean,9,3,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,euclidean,9,3,distance,0.6666666666666666,0.062087641954310935,267
auto,40,euclidean,9,4,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,euclidean,9,4,distance,0.6666666666666666,0.062087641954310935,267
auto,40,euclidean,9,5,uniform,0.6428571428571429,0.06023386019368344,2431
auto,40,euclidean,9,5,distance,0.6666666666666666,0.062087641954310935,267
auto,40,manhattan,1,1,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,1,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,2,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,2,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,3,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,3,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,4,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,4,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,5,uniform,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,1,5,distance,0.6238095238095238,0.07589227357385347,4523
auto,40,manhattan,2,1,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,manhattan,2,1,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,manhattan,2,2,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,manhattan,2,2,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,manhattan,2,3,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,manhattan,2,3,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,manhattan,2,4,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,manhattan,2,4,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,manhattan,2,5,uniform,0.5714285714285715,0.06734350297014739,6796
auto,40,manhattan,2,5,distance,0.6238095238095238,0.08438116736509216,4523
auto,40,manhattan,3,1,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,manhattan,3,1,distance,0.6571428571428571,0.03563483225498991,712
auto,40,manhattan,3,2,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,manhattan,3,2,distance,0.6571428571428571,0.03563483225498991,712
auto,40,manhattan,3,3,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,manhattan,3,3,distance,0.6571428571428571,0.03563483225498991,712
auto,40,manhattan,3,4,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,manhattan,3,4,distance,0.6571428571428571,0.03563483225498991,712
auto,40,manhattan,3,5,uniform,0.6428571428571428,0.02129588549999797,2698
auto,40,manhattan,3,5,distance,0.6571428571428571,0.03563483225498991,712
auto,40,manhattan,4,1,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,manhattan,4,1,distance,0.6714285714285715,0.031586902765289526,1
auto,40,manhattan,4,2,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,manhattan,4,2,distance,0.6714285714285715,0.031586902765289526,1
auto,40,manhattan,4,3,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,manhattan,4,3,distance,0.6714285714285715,0.031586902765289526,1
auto,40,manhattan,4,4,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,manhattan,4,4,distance,0.6714285714285715,0.031586902765289526,1
auto,40,manhattan,4,5,uniform,0.6095238095238095,0.05753831415997415,5853
auto,40,manhattan,4,5,distance,0.6714285714285715,0.031586902765289526,1
auto,40,manhattan,5,1,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,manhattan,5,1,distance,0.6571428571428573,0.06494372236659933,652
auto,40,manhattan,5,2,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,manhattan,5,2,distance,0.6571428571428573,0.06494372236659933,652
auto,40,manhattan,5,3,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,manhattan,5,3,distance,0.6571428571428573,0.06494372236659933,652
auto,40,manhattan,5,4,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,manhattan,5,4,distance,0.6571428571428573,0.06494372236659933,652
auto,40,manhattan,5,5,uniform,0.6476190476190478,0.08832017614757812,1783
auto,40,manhattan,5,5,distance,0.6571428571428573,0.06494372236659933,652
auto,40,manhattan,6,1,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,manhattan,6,1,distance,0.661904761904762,0.05512303287042966,423
auto,40,manhattan,6,2,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,manhattan,6,2,distance,0.661904761904762,0.05512303287042966,423
auto,40,manhattan,6,3,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,manhattan,6,3,distance,0.661904761904762,0.05512303287042966,423
auto,40,manhattan,6,4,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,manhattan,6,4,distance,0.661904761904762,0.05512303287042966,423
auto,40,manhattan,6,5,uniform,0.6238095238095237,0.07737179432986628,4935
auto,40,manhattan,6,5,distance,0.661904761904762,0.05512303287042966,423
auto,40,manhattan,7,1,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,manhattan,7,1,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,manhattan,7,2,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,manhattan,7,2,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,manhattan,7,3,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,manhattan,7,3,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,manhattan,7,4,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,manhattan,7,4,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,manhattan,7,5,uniform,0.6238095238095239,0.055123032870429634,4368
auto,40,manhattan,7,5,distance,0.6476190476190476,0.038095238095238085,1867
auto,40,manhattan,8,1,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,manhattan,8,1,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,manhattan,8,2,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,manhattan,8,2,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,manhattan,8,3,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,manhattan,8,3,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,manhattan,8,4,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,manhattan,8,4,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,manhattan,8,5,uniform,0.6238095238095237,0.07438333024673005,4935
auto,40,manhattan,8,5,distance,0.6476190476190476,0.0380952380952381,1867
auto,40,manhattan,9,1,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,manhattan,9,1,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,manhattan,9,2,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,manhattan,9,2,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,manhattan,9,3,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,manhattan,9,3,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,manhattan,9,4,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,manhattan,9,4,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,manhattan,9,5,uniform,0.6333333333333333,0.05345224838248486,3596
auto,40,manhattan,9,5,distance,0.6333333333333334,0.03563483225498992,3416
auto,40,chebyshev,1,1,uniform,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,1,distance,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,2,uniform,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,2,distance,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,3,uniform,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,3,distance,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,4,uniform,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,4,distance,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,5,uniform,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,1,5,distance,0.5857142857142857,0.05753831415997414,6568
auto,40,chebyshev,2,1,uniform,0.5857142857142857,0.0791107034563626,6568
auto,40,chebyshev,2,1,distance,0.5809523809523809,0.07468755781599107,6701
auto,40,chebyshev,2,2,uniform,0.5857142857142857,0.0791107034563626,6568
auto,40,chebyshev,2,2,distance,0.5809523809523809,0.07468755781599107,6701
auto,40,chebyshev,2,3,uniform,0.5857142857142857,0.0791107034563626,6568
auto,40,chebyshev,2,3,distance,0.5809523809523809,0.07468755781599107,6701
auto,40,chebyshev,2,4,uniform,0.5857142857142857,0.0791107034563626,6568
auto,40,chebyshev,2,4,distance,0.5809523809523809,0.07468755781599107,6701
auto,40,chebyshev,2,5,uniform,0.5857142857142857,0.0791107034563626,6568
auto,40,chebyshev,2,5,distance,0.5809523809523809,0.07468755781599107,6701
auto,40,chebyshev,3,1,uniform,0.638095238095238,0.07882354932022309,3042
auto,40,chebyshev,3,1,distance,0.6333333333333332,0.09712418121129116,3914
auto,40,chebyshev,3,2,uniform,0.638095238095238,0.07882354932022309,3042
auto,40,chebyshev,3,2,distance,0.6333333333333332,0.09712418121129116,3914
auto,40,chebyshev,3,3,uniform,0.638095238095238,0.07882354932022309,3042
auto,40,chebyshev,3,3,distance,0.6333333333333332,0.09712418121129116,3914
auto,40,chebyshev,3,4,uniform,0.638095238095238,0.07882354932022309,3042
auto,40,chebyshev,3,4,distance,0.6333333333333332,0.09712418121129116,3914
auto,40,chebyshev,3,5,uniform,0.638095238095238,0.07882354932022309,3042
auto,40,chebyshev,3,5,distance,0.6333333333333332,0.09712418121129116,3914
auto,40,chebyshev,4,1,uniform,0.6047619047619047,0.03563483225498992,6145
auto,40,chebyshev,4,1,distance,0.6047619047619047,0.11328930717495542,6145
auto,40,chebyshev,4,2,uniform,0.6047619047619047,0.03563483225498992,6145
auto,40,chebyshev,4,2,distance,0.6047619047619047,0.11328930717495542,6145
auto,40,chebyshev,4,3,uniform,0.6047619047619047,0.03563483225498992,6145
auto,40,chebyshev,4,3,distance,0.6047619047619047,0.11328930717495542,6145
auto,40,chebyshev,4,4,uniform,0.6047619047619047,0.03563483225498992,6145
auto,40,chebyshev,4,4,distance,0.6047619047619047,0.11328930717495542,6145
auto,40,chebyshev,4,5,uniform,0.6047619047619047,0.03563483225498992,6145
auto,40,chebyshev,4,5,distance,0.6047619047619047,0.11328930717495542,6145
auto,40,chebyshev,5,1,uniform,0.6095238095238095,0.035634832254989916,5853
auto,40,chebyshev,5,1,distance,0.6238095238095238,0.0788235493202231,4523
